CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.140625 1571608194.7800
MEM 149.140625 1571608194.8800
MEM 149.140625 1571608194.9810
MEM 149.140625 1571608195.0810
MEM 149.140625 1571608195.1810
MEM 149.140625 1571608195.2820
MEM 149.140625 1571608195.3820
MEM 149.140625 1571608195.4820
MEM 149.140625 1571608195.5830
MEM 149.140625 1571608195.6830
MEM 149.140625 1571608195.7840
MEM 149.140625 1571608195.8840
MEM 149.140625 1571608195.9850
MEM 149.140625 1571608196.0850
MEM 149.140625 1571608196.1850
MEM 149.140625 1571608196.2860
MEM 149.140625 1571608196.3860
MEM 149.140625 1571608196.4870
MEM 149.140625 1571608196.5870
MEM 149.140625 1571608196.6870
MEM 149.140625 1571608196.7870
MEM 149.140625 1571608196.8880
MEM 149.140625 1571608196.9880
MEM 149.140625 1571608197.0880
MEM 149.140625 1571608197.1880
MEM 149.140625 1571608197.2890
MEM 149.140625 1571608197.3890
MEM 149.140625 1571608197.4890
MEM 149.140625 1571608197.5890
MEM 149.140625 1571608197.6900
MEM 149.140625 1571608197.7910
MEM 149.140625 1571608197.8910
MEM 149.140625 1571608197.9920
MEM 149.140625 1571608198.0920
MEM 149.140625 1571608198.1930
MEM 149.140625 1571608198.2930
MEM 149.140625 1571608198.3940
MEM 149.140625 1571608198.4940
MEM 149.140625 1571608198.5940
MEM 149.140625 1571608198.6950
MEM 149.140625 1571608198.7960
MEM 149.140625 1571608198.8960
MEM 149.140625 1571608198.9960
MEM 149.140625 1571608199.0970
MEM 149.140625 1571608199.1970
MEM 149.140625 1571608199.2970
MEM 149.140625 1571608199.3970
MEM 149.140625 1571608199.4980
MEM 149.140625 1571608199.5980
MEM 149.140625 1571608199.6990
MEM 149.140625 1571608199.7990
MEM 149.140625 1571608199.9000
MEM 149.140625 1571608200.0000
MEM 149.140625 1571608200.1000
MEM 149.140625 1571608200.2010
MEM 149.140625 1571608200.3010
MEM 149.140625 1571608200.4010
MEM 149.140625 1571608200.5010
MEM 149.140625 1571608200.6020
MEM 149.140625 1571608200.7020
MEM 149.140625 1571608200.8020
MEM 149.140625 1571608200.9020
MEM 149.140625 1571608201.0030
MEM 149.140625 1571608201.1030
MEM 149.140625 1571608201.2040
MEM 149.140625 1571608201.3040
MEM 149.140625 1571608201.4040
MEM 149.140625 1571608201.5050
MEM 149.140625 1571608201.6050
MEM 149.140625 1571608201.7050
MEM 149.140625 1571608201.8050
MEM 149.140625 1571608201.9060
MEM 149.140625 1571608202.0060
MEM 149.140625 1571608202.1060
MEM 149.140625 1571608202.2060
MEM 149.140625 1571608202.3070
MEM 149.140625 1571608202.4070
MEM 149.140625 1571608202.5070
MEM 149.140625 1571608202.6070
MEM 149.140625 1571608202.7080
MEM 149.140625 1571608202.8080
MEM 149.140625 1571608202.9080
